year,state,state_po,totalvotes,dem_name,rep_name,dem_votes,rep_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,E_total,D_electoral,R_electoral,overall_winner
1988,KANSAS,KS,993044,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",422636,554049,554049,422636,65707,R,,0.0,0.0,0.0,R
1988,KENTUCKY,KY,1322517,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",580368,734281,734281,580368,76957,R,,0.0,0.0,0.0,R
1988,LOUISIANA,LA,1628202,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",717460,883702,883702,717460,83122,R,,0.0,0.0,0.0,R
1988,MAINE,ME,555035,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",243569,307131,307131,243569,31782,R,,0.0,0.0,0.0,R
1988,MARYLAND,MD,1714358,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",826304,876167,876167,826304,24932,R,,0.0,0.0,0.0,R
1988,MASSACHUSETTS,MA,2632801,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1401415,1194635,1401415,1194635,103391,D,,0.0,0.0,0.0,R
1988,MICHIGAN,MI,3669163,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1675783,1965486,1965486,1675783,144852,R,,0.0,0.0,0.0,R
1988,MINNESOTA,MN,2096790,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1109471,962337,1109471,962337,73568,D,,0.0,0.0,0.0,R
1988,MISSISSIPPI,MS,931527,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",363921,557890,557890,363921,96985,R,,0.0,0.0,0.0,R
1988,MISSOURI,MO,2093228,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1001619,1084953,1084953,1001619,41668,R,,0.0,0.0,0.0,R
1988,MONTANA,MT,365674,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",168936,190412,190412,168936,10739,R,,0.0,0.0,0.0,R
